dataset_id,arxiv_id,status,file_size_kb,file_path
ai4bharat/MILU,2411.02538,already_exists,996.1728515625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\ai4bharat_MILU_2411.02538.pdf
stefan-m-lenz/UroLlmEvalSet,2501.12106,already_exists,1672.283203125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\stefan-m-lenz_UroLlmEvalSet_2501.12106.pdf
MAmmoTH-VL/MAmmoTH-VL-Instruct-12M,2412.05237,already_exists,19803.712890625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\MAmmoTH-VL_MAmmoTH-VL-Instruct-12M_2412.05237.pdf
FreedomIntelligence/medical-o1-verifiable-problem,2412.18925,already_exists,1140.4912109375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\FreedomIntelligence_medical-o1-verifiable-problem_2412.18925.pdf
veds12/math-squared,2407.21009,already_exists,760.341796875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\veds12_math-squared_2407.21009.pdf
EricLu/SCP-116K,2501.15587,already_exists,599.46484375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\EricLu_SCP-116K_2501.15587.pdf
UGPhysics/ugphysics,2502.00334,already_exists,949.7685546875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\UGPhysics_ugphysics_2502.00334.pdf
Fancy-MLLM/R1-Onevision,2503.10615,success,16910.5556640625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Fancy-MLLM_R1-Onevision_2503.10615.pdf
UGMathBench/ugmathbench,2501.13766,already_exists,1320.55859375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\UGMathBench_ugmathbench_2501.13766.pdf
czh-up/CoMT,2412.12932,already_exists,2705.5234375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\czh-up_CoMT_2412.12932.pdf
zhibei1204/PhysReason,2502.12054,already_exists,2041.755859375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zhibei1204_PhysReason_2502.12054.pdf
SynthLabsAI/Big-Math-RL-Verified,2502.17387,already_exists,1975.3291015625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\SynthLabsAI_Big-Math-RL-Verified_2502.17387.pdf
jablonkagroup/MaCBench-Prompt-Ablations,2411.16955,already_exists,9423.9375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\jablonkagroup_MaCBench-Prompt-Ablations_2411.16955.pdf
lintw/VL-Health,2502.09838,already_exists,8580.9794921875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\lintw_VL-Health_2502.09838.pdf
KodCode/KodCode-V1-SFT-R1,2503.02951,already_exists,3298.0888671875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\KodCode_KodCode-V1-SFT-R1_2503.02951.pdf
