dataset_id,arxiv_id,abstract_url,pdf_url
pchristm/conv_questions,1910.03262,https://arxiv.org/abs/1910.03262,https://arxiv.org/pdf/1910.03262.pdf
Salesforce/cos_e,1906.02361,https://arxiv.org/abs/1906.02361,https://arxiv.org/pdf/1906.02361.pdf
castorini/covid_qa_castorini,2004.11339,https://arxiv.org/abs/2004.11339,https://arxiv.org/pdf/2004.11339.pdf
UCSD-AI4H/covid_qa_ucsd,2005.05442,https://arxiv.org/abs/2005.05442,https://arxiv.org/pdf/2005.05442.pdf
aviaefrat/cryptonite,2103.01242,https://arxiv.org/abs/2103.01242,https://arxiv.org/pdf/2103.01242.pdf
theatticusproject/cuad-qa,2103.06268,https://arxiv.org/abs/2103.06268,https://arxiv.org/pdf/2103.06268.pdf
google-research-datasets/disfl_qa,2106.04016,https://arxiv.org/abs/2106.04016,https://arxiv.org/pdf/2106.04016.pdf
ibm-research/duorc,1804.07927,https://arxiv.org/abs/1804.07927,https://arxiv.org/pdf/1804.07927.pdf
facebook/empathetic_dialogues,1811.00207,https://arxiv.org/abs/1811.00207,https://arxiv.org/pdf/1811.00207.pdf
mhardalov/exams,2011.03080,https://arxiv.org/abs/2011.03080,https://arxiv.org/pdf/2011.03080.pdf
illuin/fquad,2002.06071,https://arxiv.org/abs/2002.06071,https://arxiv.org/pdf/2002.06071.pdf
allenai/gooaq,2104.08727,https://arxiv.org/abs/2104.08727,https://arxiv.org/pdf/2104.08727.pdf
dki-lab/grail_qa,2011.07743,https://arxiv.org/abs/2011.07743,https://arxiv.org/pdf/2011.07743.pdf
wenhu/hybrid_qa,1909.05358,https://arxiv.org/abs/1909.05358,https://arxiv.org/pdf/1909.05358.pdf
indonlp/indonlu,1809.03391,https://arxiv.org/abs/1809.03391,https://arxiv.org/pdf/1809.03391.pdf
indonlp/indonlu,1909.11879,https://arxiv.org/abs/1909.11879,https://arxiv.org/pdf/1909.11879.pdf
indonlp/indonlu,1908.04899,https://arxiv.org/abs/1908.04899,https://arxiv.org/pdf/1908.04899.pdf
facebook/kilt_tasks,2009.02252,https://arxiv.org/abs/2009.02252,https://arxiv.org/pdf/2009.02252.pdf
klue/klue,2105.09680,https://arxiv.org/abs/2105.09680,https://arxiv.org/pdf/2105.09680.pdf
coastalcph/lex_glue,2110.00976,https://arxiv.org/abs/2110.00976,https://arxiv.org/pdf/2110.00976.pdf
coastalcph/lex_glue,2109.00904,https://arxiv.org/abs/2109.00904,https://arxiv.org/pdf/2109.00904.pdf
coastalcph/lex_glue,1805.01217,https://arxiv.org/abs/1805.01217,https://arxiv.org/pdf/1805.01217.pdf
coastalcph/lex_glue,2104.08671,https://arxiv.org/abs/2104.08671,https://arxiv.org/pdf/2104.08671.pdf
cis-lmu/m_lama,2102.00894,https://arxiv.org/abs/2102.00894,https://arxiv.org/pdf/2102.00894.pdf
CogComp/mc_taco,1909.03065,https://arxiv.org/abs/1909.03065,https://arxiv.org/pdf/1909.03065.pdf
QAngaroo/med_hop,1710.06481,https://arxiv.org/abs/1710.06481,https://arxiv.org/pdf/1710.06481.pdf
apple/mkqa,2007.15207,https://arxiv.org/abs/2007.15207,https://arxiv.org/pdf/2007.15207.pdf
facebook/mlqa,1910.07475,https://arxiv.org/abs/1910.07475,https://arxiv.org/pdf/1910.07475.pdf
mrqa-workshop/mrqa,1910.09753,https://arxiv.org/abs/1910.09753,https://arxiv.org/pdf/1910.09753.pdf
mrqa-workshop/mrqa,1606.05250,https://arxiv.org/abs/1606.05250,https://arxiv.org/pdf/1606.05250.pdf
mrqa-workshop/mrqa,1611.09830,https://arxiv.org/abs/1611.09830,https://arxiv.org/pdf/1611.09830.pdf
mrqa-workshop/mrqa,1705.03551,https://arxiv.org/abs/1705.03551,https://arxiv.org/pdf/1705.03551.pdf
mrqa-workshop/mrqa,1704.05179,https://arxiv.org/abs/1704.05179,https://arxiv.org/pdf/1704.05179.pdf
mrqa-workshop/mrqa,1809.09600,https://arxiv.org/abs/1809.09600,https://arxiv.org/pdf/1809.09600.pdf
mrqa-workshop/mrqa,1903.00161,https://arxiv.org/abs/1903.00161,https://arxiv.org/pdf/1903.00161.pdf
mrqa-workshop/mrqa,1804.07927,https://arxiv.org/abs/1804.07927,https://arxiv.org/pdf/1804.07927.pdf
mrqa-workshop/mrqa,1704.04683,https://arxiv.org/abs/1704.04683,https://arxiv.org/pdf/1704.04683.pdf
mrqa-workshop/mrqa,1706.04115,https://arxiv.org/abs/1706.04115,https://arxiv.org/pdf/1706.04115.pdf
google-research-datasets/multi_re_qa,2005.02507,https://arxiv.org/abs/2005.02507,https://arxiv.org/pdf/2005.02507.pdf
IBM/multidoc2dial,2109.12595,https://arxiv.org/abs/2109.12595,https://arxiv.org/pdf/2109.12595.pdf
facebook/neural_code_search,1908.09804,https://arxiv.org/abs/1908.09804,https://arxiv.org/pdf/1908.09804.pdf
malmaud/onestop_qa,2004.14797,https://arxiv.org/abs/2004.14797,https://arxiv.org/pdf/2004.14797.pdf
community-datasets/parsinlu_reading_comprehension,2012.06154,https://arxiv.org/abs/2012.06154,https://arxiv.org/pdf/2012.06154.pdf
ybisk/piqa,1911.11641,https://arxiv.org/abs/1911.11641,https://arxiv.org/pdf/1911.11641.pdf
ybisk/piqa,1907.10641,https://arxiv.org/abs/1907.10641,https://arxiv.org/pdf/1907.10641.pdf
ybisk/piqa,1904.09728,https://arxiv.org/abs/1904.09728,https://arxiv.org/pdf/1904.09728.pdf
